skim_type,skim_variable,n_missing,complete_rate,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,character.min,character.max,character.empty,character.n_unique,character.whitespace,factor.ordered,factor.n_unique,factor.top_counts,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
POSIXct,completed_time,0,1,2025-03-22T10:17:08Z,2025-03-28T09:52:13Z,2025-03-25T10:24:45Z,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSIXct,start_time,0,1,2025-03-22T10:07:23Z,2025-03-28T09:50:16Z,2025-03-25T10:19:52Z,15448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSIXct,end_time,0,1,2025-03-22T10:07:38Z,2025-03-28T09:50:31Z,2025-03-25T10:20:07Z,15448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSIXct,test_start_time,0,1,2025-03-22T10:05:48Z,2025-03-22T10:05:48Z,2025-03-22T10:05:48Z,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSIXct,test_completion_time,0,1,2025-03-28T09:53:41Z,2025-03-28T09:53:41Z,2025-03-28T09:53:41Z,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,uuid,0,1,NA,NA,NA,NA,36,36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,notes,0,1,NA,NA,NA,NA,0,75,13408,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,versus,0,1,NA,NA,NA,NA,0,34,2913,110,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,tags,0,1,NA,NA,NA,NA,0,8,15349,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,test_type,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,6,"db: 3312, jso: 3252, for: 3142, que: 2697",NA,NA,NA,NA,NA,NA,NA,NA
factor,framework,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,777,"asp: 33, asp: 33, atr: 33, atr: 33",NA,NA,NA,NA,NA,NA,NA,NA
factor,language,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,38,"jav: 2584, php: 2554, pyt: 1382, rub: 978",NA,NA,NA,NA,NA,NA,NA,NA
factor,platform,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,88,"non: 3914, nod: 945, net: 872, fpm: 860",NA,NA,NA,NA,NA,NA,NA,NA
factor,webserver,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,76,"non: 8346, ngi: 1046, kes: 572, pum: 382",NA,NA,NA,NA,NA,NA,NA,NA
factor,database,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,"pos: 9415, mys: 4364, non: 912, mon: 757",NA,NA,NA,NA,NA,NA,NA,NA
factor,orm,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,"raw: 9609, ful: 4290, mic: 1327, non: 222",NA,NA,NA,NA,NA,NA,NA,NA
factor,classification,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,"mic: 7208, ful: 5217, pla: 2944, non: 79",NA,NA,NA,NA,NA,NA,NA,NA
factor,approach,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,"rea: 15249, str: 199",NA,NA,NA,NA,NA,NA,NA,NA
factor,os,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,lin: 15448,NA,NA,NA,NA,NA,NA,NA,NA
factor,database_os,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,"lin: 15406, non: 42",NA,NA,NA,NA,NA,NA,NA,NA
factor,verify,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,"pas: 15147, war: 301",NA,NA,NA,NA,NA,NA,NA,NA
factor,environment,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,Cit: 15448,NA,NA,NA,NA,NA,NA,NA,NA
factor,system,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,Pro: 15448,NA,NA,NA,NA,NA,NA,NA,NA
factor,system_cpu,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,Int: 15448,NA,NA,NA,NA,NA,NA,NA,NA
numeric,sloc_count,10212,0.33894355256343867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695.5355233002257,756.5996603959812,52,276,465,835,7015,▇▁▁▁▁
numeric,total_requests,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3102306.6161962906,6248834.354449608,0,232227,678092.5,2399857.5,46708212,▇▁▁▁▁
numeric,scale_factor,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.33531848783001,156.71015053029694,1,15,32,128,512,▇▁▁▁▁
numeric,throughput,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204997.95669924901,413133.1090266385,0,15324.2625,44788.020000000004,158482.65,3113880.8,▇▁▁▁▁
numeric,latency_avg_ms,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.42179439021232,205.64901358679393,0,0.98,2.59,13.02,5170,▇▁▁▁▁
numeric,latency_std_ms,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.525639388270328,139.16583379775315,0,0.32492,1.18,6.25,2870,▇▁▁▁▁
numeric,latency_max_ms,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.58966668824445,988.7229714140832,0,7.55,24.18,86.7325,8000,▇▁▁▁▁
numeric,connections,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.836354220611,215.6409555411802,16,64,256,512,512,▅▂▂▁▇
numeric,threads,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.29673744174003,13.527344290003768,16,56,56,56,56,▁▁▁▁▇
numeric,wrk_duration_sec,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,15,15,15,15,15,▁▁▇▁▁
numeric,latency_p50,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.29699779906784,199.4847868417847,0,0.785,2.02,9.35,6290,▇▁▁▁▁
numeric,latency_p75,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2953752589332,262.3399363081906,0,1.05,2.725,13.875,6710,▇▁▁▁▁
numeric,latency_p90,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.47299210253753,357.20872707711663,0,1.36,3.6,19.53,7300,▇▁▁▁▁
numeric,latency_p99,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.66339163645787,634.0595530514099,0,2.01,6.785,36.21,7970,▇▁▁▁▁
numeric,requests_sec,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205465.7816979544,413838.91523866984,0,15381.294999999998,44914.97,158929.6975,3093265.63,▇▁▁▁▁
numeric,transfer_sec,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.11291670908854,217.02084214932742,0,5.0675,17.8,60.4775,4413.44,▇▁▁▁▁
numeric,total_tcp_sockets,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1155.5978120144953,3392.9467158121474,13,15,112,518,40403,▇▁▁▁▁
numeric,connect_errors,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,▁▁▇▁▁
numeric,read_errors,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2326.5723070946538,60319.03623936765,0,0,0,0,2151876,▇▁▁▁▁
numeric,write_errors,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.70526929052913,8787.956753928685,0,0,0,0,1092255,▇▁▁▁▁
numeric,timeout_requests,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12351113412739287,3.852464139737152,0,0,0,0,223,▇▁▁▁▁
numeric,benchmarking_time_s,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.065445365096,185.71038765450334,116,499,731,732,1431,▂▆▇▁▁
numeric,build_time_s,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.530359917141,109.2866491448534,1,25,53,109,959,▇▁▁▁▁
numeric,time_starting_database_s,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.469769549456317,4.134198342261954,1,3,3,11,13,▇▁▁▁▃
numeric,time_until_accepting_requests_s,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3687208700155438,5.6747574519590955,0,0,1,2,59,▇▁▁▁▁
numeric,verify_time_s,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676.6816416364578,200.72796795033702,134,546,783,788,1488,▁▅▇▁▁
numeric,total_test_time_s,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.6866261004657,228.8462744593252,149,620,819,938,1576,▂▅▇▂▁
numeric,duration,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,15,15,15,15,15,▁▁▇▁▁
numeric,system_cores,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,28,28,28,28,28,▁▁▇▁▁
numeric,system_memory,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0,64,64,64,64,64,▁▁▇▁▁
numeric,system_max_turbo_frequency,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0,3.1,3.1,3.1,3.1,3.1,▁▁▇▁▁
numeric,system_base_frequency,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,2,2,2,▁▁▇▁▁
numeric,system_cache,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,42,42,42,42,42,▁▁▇▁▁
numeric,network_bandwidth,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,40,40,40,40,40,▁▁▇▁▁
