framework,language,platform,webserver,database,classification,total_requests,scale_factor,throughput,latency_avg_ms,latency_std_ms,latency_max_ms,connections,threads,latency_p50,latency_p75,latency_p90,latency_p99,requests_sec,transfer_sec,total_tcp_sockets,read_errors,write_errors,timeout_requests,benchmarktime,buildtime,dbstarttime,readytime,verifytime,totaltime,total_errors,error_rate,efficiency,system_load
vertx-web-postgres,java,vert.x,none,postgres,micro,187658,16,11728.62,1.27,0.22427,4.11,16,16,1.28,1.43,1.55,1.75,12500.59,21.02,69,0,0,0,499,15,3,1,543,568,0,0,4360.081784386617,Very Low
vertx-web-postgres,java,vert.x,none,postgres,micro,420654,32,28043.6,1.14,0.25683,3.75,32,32,1.12,1.3,1.48,1.77,27856.71,46.84,69,0,0,0,499,15,3,1,543,568,0,0,11469.775051124743,Low
vertx-web-postgres,java,vert.x,none,postgres,micro,1177142,64,78476.13,0.71175,0.23169,2.85,64,56,0.702,0.86,1,1.32,77954.93,131.07,69,0,0,0,499,15,3,1,543,568,0,0,44066.05180037903,Medium Low
vertx-web-postgres,java,vert.x,none,postgres,micro,6427124,128,428474.93,0.26667,0.14045,3.02,128,56,0.224,0.318,0.434,0.834,425637.07,715.64,69,0,0,0,499,15,3,1,543,568,0,0,260734.98708419158,Medium
vertx-web-postgres,java,vert.x,none,postgres,micro,10572070,256,704804.67,0.33127999999999996,0.40099,20.45,256,56,0.298,0.368,0.445,0.828,700155.87,1177.6,69,0,0,0,499,15,3,1,543,568,0,0,67830.72746240848,High
vertx-web-postgres,java,vert.x,none,postgres,micro,12748247,512,849883.13,0.6022000000000001,0.22626,4.94,512,56,0.556,0.676,0.832,1.5,844293.85,1423.36,69,0,0,0,499,15,3,1,543,568,0,0,306695.2221139619,Very High
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,88859,16,5923.93,2.69,0.39399,4.32,16,16,2.68,2.95,3.21,3.66,5917.12,7.91,15,0,0,0,615,327,12,0,648,995,0,0,1690.1369472182598,Very Low
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,164114,32,10940.93,2.92,0.50158,4.83,32,32,2.89,3.26,3.6,4.1,10930.05,14.61,15,0,0,0,615,327,12,0,648,995,0,0,2823.465806451613,Low
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,369228,64,24615.2,2.27,0.55004,5.06,64,56,2.22,2.6,3,3.78,24450.97,32.69,15,0,0,0,615,327,12,0,648,995,0,0,6716.289222373806,Medium Low
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,1073781,128,71585.4,1.56,0.347,4.93,128,56,1.53,1.77,2,2.54,71108.42,95.08,15,0,0,0,615,327,12,0,648,995,0,0,22060.2157164869,Medium
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,1186714,256,79114.27,2.83,0.8271900000000001,9.09,256,56,2.74,3.33,3.94,5.16,78649.63,105.16,15,0,0,0,615,327,12,0,648,995,0,0,13274.206375838927,High
phalcon-micro,php,fpm/fastcgi,nginx,mysql,micro,1064996,512,66562.25,7.14,2.4,30.1,512,56,6.92,8.54,10.22,14.06,70586.04,94.38,15,0,0,0,615,327,12,0,648,995,0,0,3574.7717508055853,Very High
h2o,c,none,h2o,postgres,platform,185659,16,12377.27,1.29,0.19061,5.11,16,16,1.3,1.41,1.52,1.69,12295.43,16.31,71,0,0,0,848,330,3,0,919,1259,0,0,3867.896875,Very Low
h2o,c,none,h2o,postgres,platform,375833,32,23489.56,1.27,0.23774,4.85,32,32,1.28,1.43,1.57,1.8,24888.94,33.02,71,0,0,0,848,330,3,0,919,1259,0,0,7676.326797385623,Low
h2o,c,none,h2o,postgres,platform,840220,64,56014.67,1,0.29635,5.3,64,56,0.99,1.2,1.38,1.7,55642.99,73.81,71,0,0,0,848,330,3,0,919,1259,0,0,17782.43492063492,Medium Low
h2o,c,none,h2o,postgres,platform,7442167,128,496144.47,0.22861,0.12353,4.6,128,56,0.187,0.292,0.389,0.666,492849.96,653.8,71,0,0,0,848,330,3,0,919,1259,0,0,205501.98504331472,Medium
h2o,c,none,h2o,postgres,platform,13000429,256,866695.27,0.25853,0.09815,9.22,256,56,0.249,0.308,0.378,0.518,860960.41,1146.88,71,0,0,0,848,330,3,0,919,1259,0,0,182875.46064632383,High
h2o,c,none,h2o,postgres,platform,18674815,512,1244987.67,0.40719,0.1455,19.8,512,56,0.396,0.473,0.558,0.762,1236799.56,1638.4,71,0,0,0,848,330,3,0,919,1259,0,0,123222.24614110125,Very High
httpserver-postgres,java,httpserver,none,postgres,platform,5712,16,380.8,41.98,2.06,45.65,16,16,42,42.02,42.11,43.06,380.52,0.503477,8139,0,0,0,133,49,3,1,136,197,0,0,8.69108752710259,Very Low
httpserver-postgres,java,httpserver,none,postgres,platform,11459,32,763.93,41.94,2.13,44,32,32,41.99,42.02,42.07,43.02,758.84,1,8139,0,0,0,133,49,3,1,136,197,0,0,17.778217360949498,Low
httpserver-postgres,java,httpserver,none,postgres,platform,20099,64,1339.93,41.93,2.13,52.06,64,56,41.99,42.02,42.07,43.03,1331,1.76,8139,0,0,0,133,49,3,1,136,197,0,0,28.512182147036917,Medium Low
